,Title,Rating,Description,Website,Address,Phone
0,International Youth Club,3.8,International Youth Club is promoting sustainable and responsible tourism by offering adventure activities and budget accommodation in Himalayas and Asian Subcontinent.,http://chadartrek.club,"International Youth Club, Hotel Panorama, Shanti-Stupa Road, Leh 194101, India",Also Available in: New Delhi & Leh
1,Nayalap,4,"Comprising of fixed tents, Nayalap is the perfect Himalayan home/ retreat. Along with all creature comforts, there are tons of hikes to take, birds to watch, rocks to climb, villages to explore and towns around to walk in.
",http://nayalap.com," Dalamal Chambers, 602, Behind Income Tax office, New Marine Lines, Churchgate, Mumbai, Maharashtra 400020",7618605671
2,Big Red Tent,4.4,"Travel season is here! Big Red Tent is the way to go if you are planning to have an adventurous vacation and fun camping with bonfires at amazing locations. They will take you to perfect campground where you can seek complete solitude in nature. Get prepared for an action-packed, adventure weekend, contact them today for bookings and to avail discount.
",http://bigredtent.in/,"128, Unique Industrial Estate, Twin tower lane, Near Siddhivinayak Mandir, Prabhadevi, Dadar-west 400025", 9930582878
3,The Football Link,3.6,The Football Link Sport Private Limited (TFL) is one of India’s premier football organizations with professional expertise in organizing large scale football initiatives for developing grassroots football in the country. This is done by utilizing Technology (F-Cube) and sustainable Infrastructure (FZone).,https://thefootballlink.com/,"Farm House No. 25 A, Green Avenue Farms, Vasant Kunj Delhi, India",9999079889
4,Forest Hills at Tala,4,"Forest Hills, Tala, has been designed and built to exceed expectations, even as it promises a rare blend of privacy and indulgence. Set within what looks like an artistic landscape of verdant greenery, serene water-bodies and an edge-of-the–valley backdrop, Forest Hills, Tala has something for every traveler looking to unwind in the lap of luxury.",http://www.foresthillstala.com/events,"5B, Bakhtawar, Nariman Point, Mumbai – 400021",91-22-2202 6226
5,The Yarn Story,3.8,"The Yarn Story translates contemporary designs & ideas into fine fabrics, thoughtfully crafted for the modern Indian. Inspired by art & travel designs are a sweet blend of warm colors and young prints creating a unique collection of home & lifestyle products.",https://theyarnstory.com,"The Yarn Story 1B Standard House, 83 Queens Road, Mumbai 40000",Also Available in: Mumabi
6,Pappi Chulo Vagator,4,"Pappi Chulo Vagator gates to good times. Party place, hostel, bar, Vagator, Goa. Backpackers Party Hostel & Cafe/Booze place.
",http://pappi-chulo-hostel.goa-india-hotels-resorts.com/en/,"Ozran Beach Road, Next To 9 Bar, Vagator, India",Also Available in: Goa
7,Happy Panda,4,"Happy Panda Hostel in Arambol, Goa is the coolest place to chill, meet happy travellers and explore Arambol.",http://www.happypanda.in/,"Mandrem road Arambol, Goa, India",096732 01979
8,The funky monkey hostel,4,"The Funky Monkey hostel creates an environment where people converge, exchange experiences, and help each other. A multi-national group of open minded friends, trying to promote a good vibe and attitude to life.",https://www.thefunkymonkeyhostel.com/,"Anjuna Beach, Anjuna, GOA 403509, India ",Also Available in: Goa
9,The hostel crowd,4,To travel is to live! Keeping this very thought in mind The hostel crowd is here to make your stays more lively and encourage the spirit of travel.,https://thehostelcrowd.com/summerhostel/,"House Number 99/1, Ourem Road, Palolem, Goa",Also Available in: Goa
10,Dreams Hostel Vagator,4,"Planning a trip to Goa? Searching for a nice place to stay, in the budget? Dreams hostel Vagator is here with a list of places to stay in Goa. Live the moment!",http://dreams-hostel.goa-india-hotels-resorts.com/en/," 500(1), Vagator Beach Rd, Opposite Garden Villa Restaurant, Vagator, Vagator, India",Also Available in: Goa
11,Spiritual Warrior,4,Can't take out time to take care of your health? Spiritual warriors are here to help you out and get your fitness essentials on a click. Stay connected with the roots of yoga and get into the realms of spirituality.,https://www.spiritualwarrior.in/,"Chanakyapuri, New Delhi, Delhi 110021",Also Available in: New Delhi
12,Frenzy Adventure,4,Frenzy Adventure is one of its kind amusement park located in Gurugram that offers many adventure & outdoor sports including North-India's first Sky Cycle ride.,https://frenzyadventure.com/," Frenzy Adventure, VSR 68 Avenue, Sector 68, Badshapur, Sohna Road Gurgaon, Haryana",096754 23383
13,Arrow Max India,3.5,"Arrow Max India is one of the top sellers of gym & sports equipment in India, as they sell quality products that are reliable at affordable prices. Currently, they are selling their products through Flipkart.", http://www.arrowmax.in,"1000 Pan Mandi, Sadar Bazar, Delhi, Delhi, 110006, India",
14,Travel Triangle,3.8,"TravelTriangle – an expert friend and holiday provider who will guide the traveler through the entire process of exploring, planning & booking holiday. We aim to make holiday planning an enjoyable and hassle-free activity and so, we stand for an innovative, reliable & tech-focused travel brand that is geared towards providing an end to end fulfillment of an amazing holiday booking and delivery experience.",https://traveltriangle.com/,"Holiday Triangle Travel Private Limited Address: Plot No - 29 , 3rd & 4th Floor, Dynamic House, Maruti Industrial Complex, Sector 18, Gurugram -122015,Haryana",
15,FabGetaways,4,"FABgetaways is here to make your luxury travel dreams come true! They are a members-only luxury travel platform, specialising in personally curated travel deals. Their dedicated team of experts check every hotel and resort personally, to make sure you experience the best the world has to offer. And if that isn’t enough, they get you deals that are too hard to say no to.",https://www.fabgetaways.com/,+91 90990 61000,
16,"Espionage- Spies, Lies & Sneaky Guys",3.8,Want to get a day off from daily routine? Espionage is here in Kolkata to give a real-life escape scenario and to add some mystery and adventure in your day. Take your friends or family to have fun for 60 minutes in an escape room and your day will be worth it. ,https://www.fabgetaways.com/,"85 A SARAT BOSE ROAD,3RD FLOOR, Kolkata, West Bengal 700026",Also Available in: Kolkata
17,Turtle Trails,4,Are you a traveler? Do you love bikes? Then join the Turtle Trails to experience yet unseen Indian subcontinent through amazing motorcycle trips & serene yoga retreats. ,http://turtletrailsindia.com/,"2/31 Ground Floor Vijay Nagar , Double Story, New Delhi, Delhi 110009",9871802114
18,Trip 360,4,"Trip 360 is for the bold, the fun and the adventurous tours. They operate worldwide and offer a wide range of adrenaline and wonder-filled experiences with trekking, cycling, motorbiking, scuba diving tours and other adventures in and outside of India. ",https://www.trip360.com/," Turner Morrison Building, 16 Bank Street, Fort, Mumbai, Maharashtra 400001",Also Available in: Mumbai
19,Adventure Nation,4.5,"Are you also fond of adventure and travel? Adventure Nation is a one-stop solution for people who want to meet other outdoors folks, find great Adventures or participate in events. There is a wide range of activities such as trekking, rafting, skiing, cycling/biking, angling, paragliding, hot-air ballooning and scuba diving.",https://www.adventurenation.com/,"5th Floor, Tower A, Unitech Cyber Park, Sector - 39, Gurgaon - 122001",0124 498 3580
20,Activity Adda,3.8,"Activity Adda is made for memorable experiences, offbeat adventures and exploring the wonderland India. They curate customized trips and outdoor events for college groups and corporate is their forte.",https://www.activityadda.com/,"Pushkar 72, 3rd floor, Abhinav nagar, road no1.nr Sanjay gandhi national, park., Borivali (east), Maharashtra 400066",Also Available in: Mumbai
21,Bikamp adventures,3.9,"Bikamp adventures are basically for enthusiasts who travel at offbeat locations to seek adventure of their lifetime. You will have a unique experience, comfort, meet new people, explore life, share your stories and relax your mind and body.",https://www.bikamp.com/,"Chuchot Shama Village Leh, India",Also Available in: Rajasthan
22,GypsyChild Hostels,4.5,"Gypsy Child Hostel is a boutique space with breathtaking views. The hostel is tastefully decorated keeping in mind the traveler's comfort and needs. It offers neat bed and breakfast, set bang on the banks of the Lake Pichola. ",https://www.bikamp.com/,"26,Naavghaat,Near City Palace Gate,Badipole Udaipur, Rajasthan, 313001",098116 04848
23,GoChoppers,4,"GoChoppers is all set to change the way you imagine a holiday with exclusive luxury heli-tourism packages. Be it a pilgrimage, honeymoon or family holiday.",http://www.gochoppers.com/,"Galleria Commercial Complex #1113,, 11th Floor, DLF Phase - IV, Gurugram, Haryana 122009",Also Available in: Gurgaon
24,The Unhotel,3.8,"The Unhotel Company is a new age ‘Experiences’ company that does hand-picked accommodation, offbeat trips & treks and some very cool events. They have been to each one of their 50-odd unhotels. Spent time with the hosts. Sampled the food and snooped around the local area.",https://www.unhotel.in/,09560550015,
